ID,Site ID,Indoor/Outdoor
5432,CM2120,Indoor
5431,CM2083,Outdoor
5430,CM1961,Indoor
5429,CM1949,Outdoor
5428,CM1936,Indoor
5427,CM1861,Indoor
5426,CM1760,Indoor
5425,CM1748,Outdoor
5424,CM1647,Outdoor
5423,CM1635,Indoor
5422,CM1611,Outdoor
5421,CM1595,Outdoor
5420,CM1567,Indoor
5419,CM1545,Indoor
5418,CM1496,Outdoor
5417,CM1487,Indoor
5416,CM1480,Indoor
5415,CM1471,Outdoor
5414,CM1387,Outdoor
5413,CM1382,Indoor
5412,CM1247,Indoor
5411,CM1123,Outdoor
5410,CM1120,Outdoor
5409,CM1048,Indoor
5408,CM1018,Indoor
5407,CM0846,Outdoor
5406,CM0844,Indoor
5405,CM0580,Indoor
5404,CM0549,Outdoor
5403,CM0530,Outdoor
5402,CM0496,Outdoor
5401,CM0456,Indoor
5400,CM0219,Outdoor
5399,BD5069,Lamp Pole
5398,BD5065,Lamp Pole
5397,BD0309,Outdoor
5396,BD0308,Outdoor
5395,BD0307,Indoor
5394,BD0306,Outdoor
5393,BD0305,Outdoor
5392,BD0304,Outdoor
5391,BD0301,Indoor
5390,BD0300,Outdoor
5389,BD0299,Outdoor
5388,BD0242,Indoor
5387,BD0239,Outdoor
5386,BD0164,Outdoor
5385,BD0163,Outdoor
5384,BD0145,Outdoor
5383,BD0088,Outdoor
5382,BD0082,Outdoor
5381,BD0050,Outdoor
5380,BA5012,Lamp Pole
5379,BA0188,Outdoor
5378,BA0187,Outdoor
5377,BA0185,Outdoor
5376,BA0184,Outdoor
5375,BA0183,Outdoor
5374,BA0182,Outdoor
5373,BA0181,Outdoor
5372,BA0180,Indoor
5371,BA0179,Outdoor
5370,BA0178,Outdoor
5369,BA0177,Outdoor
5368,BA0176,Outdoor
5367,BA0175,Outdoor
5366,BA0174,Outdoor
5365,BA0173,Outdoor
5364,BA0172,Outdoor
5363,BA0171,Outdoor
5362,BA0170,Outdoor
5361,BA0158,Outdoor
5360,BA0149,Outdoor
5359,BA0122,Outdoor
5358,BA0113,Outdoor
5357,BA0109,Outdoor
5356,BA0102,Outdoor
5355,BA0099,Outdoor
5354,BA0079,Outdoor
5353,BA0068,Outdoor
5352,AN5091,Lamp Pole
5351,AN5079,Lamp Pole
5350,AN5078,Lamp Pole
5349,AN0428,Outdoor
5348,AN0427,Indoor
5347,AN0426,Indoor
5346,AN0425,Indoor
5345,AN0424,Outdoor
5344,AN0423,Outdoor
5343,AN0422,Indoor
5342,AN0420,Outdoor
5341,AN0419,Indoor
5340,AN0418,Indoor
5339,AN0408,Lamp Pole
5338,AN0393,Lamp Pole
5337,AN0248,Outdoor
5336,AN0234,Lamp Pole
5335,AN0103,Indoor
5334,AN0083,Lamp Pole
5333,AM5122,Lamp Pole
5332,AM0257,Outdoor
5331,AM0256,Outdoor
5330,AM0255,Outdoor
5329,AM0254,Outdoor
5328,AM0253,Outdoor
5327,AM0252,Outdoor
5326,AM0251,Outdoor
5325,AM0250,Outdoor
5324,AM0249,Outdoor
5323,AM0248,Outdoor
5322,AM0247,Outdoor
5321,AM0246,Outdoor
5320,AM0245,Outdoor
5319,AM0244,Outdoor
5318,AM0243,Outdoor
5317,AM0242,Outdoor
5316,AM0241,Outdoor
5315,AM0235,Outdoor
5314,AM0223,Outdoor
5313,AM0181,Indoor
5312,AM0076,Outdoor
5311,AM0070,Outdoor
5310,TR0186,N/A
5309,CM5313,Lamp Pole
5308,GA0116,Outdoor
5307,RA0151,Outdoor
5306,MO0144,Outdoor
5305,BD5070,Lamp Pole
5304,NU5085,Lamp Pole
5303,PO5073,Lamp Pole
5302,CM2437,Outdoor
5301,JA0301,Outdoor
5300,TR0157,Outdoor
5299,KE0344,Outdoor
5298,RA0197,Outdoor
5297,GM1096,Outdoor
5296,KL0221,Outdoor
5295,HA0130,Outdoor
5294,HA0197,Outdoor
5293,BD0285,Outdoor
5292,MO0092,Outdoor
5291,CM1584,Outdoor
5289,KI0116,Lamp Pole
5288,RA0266,Outdoor
5287,KU7000,N/A
5286,CM1607,Outdoor
5285,BA0072,Outdoor
5284,CM1740,Outdoor
5283,RA0103,N/A
5282,CM1587,Outdoor
5281,MO0187,N/A
5280,PU0317,Outdoor
5279,CM5714,Lamp Pole
5278,KL0079,Outdoor
5277,GA0340,Outdoor
5276,KA0458,Outdoor
5275,GM0706,Outdoor
5274,CM2303,Outdoor
5269,PO5011,Lamp Pole
5268,PO0196,Outdoor
5267,PO0191,Lamp Pole
5266,PO0058,Outdoor
5265,NU0213,Outdoor
5264,MU5041,Lamp Pole
5263,MU0128,Outdoor
5262,MU0085,Outdoor
5261,MU0023,Outdoor
5260,MT0040,Outdoor
5259,MT0015,Outdoor
5258,MR5032,Lamp Pole
5257,MO0055,Outdoor
5256,MA5019,Lamp Pole
5255,KU5114,Lamp Pole
5254,KU5104,Lamp Pole
5253,KU5014,Lamp Pole
5252,KU0440,Outdoor
5251,KU0156,Outdoor
5250,KL5054,Lamp Pole
5249,KL5044,Lamp Pole
5248,KL5041,Lamp Pole
5247,KL5033,Lamp Pole
5246,KL5022,Lamp Pole
5245,KL5003,Lamp Pole
5244,KL5001,Lamp Pole
5243,KL2000,Outdoor
5242,KL0391,Outdoor
5241,KL0291,Outdoor
5240,KI5020,Lamp Pole
5239,KI5019,Lamp Pole
5238,KI0102,Outdoor
5237,KI0050,Outdoor
5236,KE5062,Lamp Pole
5235,KE5038,Lamp Pole
5234,KE0257,Outdoor
5233,KA5042,Lamp Pole
5232,KA0319,Outdoor
5231,JA5082,Lamp Pole
5230,JA5034,Lamp Pole
5229,JA5018,Lamp Pole
5228,JA5011,Lamp Pole
5227,JA5010,Lamp Pole
5226,JA5004,Lamp Pole
5225,JA5000,Lamp Pole
5224,JA0174,Outdoor
5223,JA0167,Outdoor
5222,HA5021,Lamp Pole
5221,HA0232,Outdoor
5220,GM5270,Lamp Pole
5219,GM5224,Lamp Pole
5218,GM5224,Lamp Pole
5217,GM5222,Lamp Pole
5216,GM5216,Lamp Pole
5215,GM5215,Lamp Pole
5214,GM5214,Lamp Pole
5213,GM5210,Lamp Pole
5212,GM5209,Lamp Pole
5211,GM5191,Lamp Pole
5210,GM5178,Lamp Pole
5209,GM5035,Lamp Pole
5208,GM5033,Lamp Pole
5207,GM1081,Outdoor
5206,GM1077,Outdoor
5205,GM1037,Outdoor
5204,GM0994,Indoor
5203,GM0967,Outdoor
5202,GM0851,Outdoor
5201,GM0720,Outdoor
5200,GM0479,Outdoor
5199,GM0476,Outdoor
5198,GA5070,Lamp Pole
5197,GA5065,Lamp Pole
5196,GA5047,Lamp Pole
5195,GA0335,Outdoor
5194,GA0333,Outdoor
5193,GA0284,Outdoor
5192,CM5698,Lamp Pole
5191,CM5633,Lamp Pole
5190,CM5520,Lamp Pole
5189,CM5519,Lamp Pole
5188,CM5518,Lamp Pole
5187,CM5396,Lamp Pole
5186,CM5370,Lamp Pole
5185,CM5367,Lamp Pole
5184,CM5360,Lamp Pole
5183,CM5103,Lamp Pole
5182,CM2277,Indoor
5181,CM2056,Outdoor
5180,CM1726,Outdoor
5179,CM1602,Outdoor
5178,CM1601,Outdoor
5177,CM1238,Outdoor
5176,CM0992,Outdoor
5175,CM0979,Outdoor
5174,CM0714W,Indoor
5173,CM0681,Outdoor
5172,BD5044,Lamp Pole
5171,BD5011,Lamp Pole
5170,BD0223,Outdoor
5169,BD0222,Outdoor
5168,BD0221,Outdoor
5167,BD0175,Lamp Pole
5166,BD0166,Outdoor
5165,BD0154,Outdoor
5164,BA0159,Outdoor
5163,AN5077,Lamp Pole
5162,AN5064,Lamp Pole
5161,AN0288,Outdoor
5160,AN0277,Outdoor
5159,AN0272,Outdoor
5158,AN0137,Outdoor
5156,AM5019,Lamp Pole
5155,AN0322,Outdoor
5154,VA0130,Outdoor
5151,KA0599,Outdoor
5150,KL0248,Outdoor
5149,GA0132,Outdoor
5148,JA0299,Outdoor
5147,JA0266,Outdoor
5146,JA0254,Outdoor
5145,JA0083,Outdoor
5144,AN0112,Outdoor
5143,AN0276,Outdoor
5142,AN0282,Outdoor
5087,CM0940,Indoor
5086,PO5028,Lamp Pole
5085,GM0537,N/A
5084,GM1115,Indoor
5083,GM0356,Outdoor
5082,GA0339,Outdoor
5081,GM0434,Outdoor
5080,CM2013,Indoor
5079,MR0227,Outdoor
5078,KU0598,Outdoor
5077,PU0096,Outdoor
5076,PU0085,Outdoor
5075,AM0237,N/A
5074,AM0074,Outdoor
5073,GM0432,Outdoor
5072,MU0052,Outdoor
5071,KU0499,Outdoor
5070,KA0475,Outdoor
5069,VA0093,Outdoor
5068,GM1116,Indoor
5067,AN0409,Outdoor
5066,CM2146,Indoor
5065,MR0256,Outdoor
5064,MR0255,Outdoor
5063,MR0254,Outdoor
5062,KU0494,Outdoor
5061,KU0160,Outdoor
5060,GM0605,Outdoor
5059,GM0824,Outdoor
5058,BD0226,Outdoor
5057,KU0376,Outdoor
5056,AN0096,Outdoor
5055,NU0219,Outdoor
5054,KE0307,Outdoor
5053,GA0196,Indoor
5052,NU0169,Outdoor
5051,KA0233,Outdoor
5050,CM1384,Outdoor
5049,GM0836,Outdoor
5048,GM0589,Outdoor
5047,GM0245,Outdoor
5046,GM0110,Outdoor
5045,CM2081,Indoor
5044,CM2048,Indoor
5043,CM1986,Indoor
5042,CM1404,Indoor
5041,CM1890,Indoor
5040,GM0149,Indoor
5039,CM1067,Outdoor
5038,HA0080,Outdoor
5037,KL0318,Outdoor
5036,GA0128,Outdoor
5035,MR0164,Outdoor
5034,GA0268,Outdoor
5033,KL0326,Outdoor
5032,KL0338,Outdoor
5031,PU0198,Outdoor
5030,KU0401,Outdoor
5029,KU0637,Outdoor
5028,CM0798,Outdoor
5027,MT0183,Outdoor
5026,BD0179,Outdoor
5025,GM0684,Outdoor
5024,GM0992,Outdoor
5023,AN0326,Outdoor
5022,MU0105,Outdoor
5021,PO0201,Outdoor
5020,BA0125,Indoor
5019,GA0321,Outdoor
5018,KU0426,Outdoor
5017,KU0442,Outdoor
5016,GA0330,Outdoor
5015,AN0114,Outdoor
5014,GA0334,Outdoor
5013,KL0292,Outdoor
5012,PU0133,Outdoor
5011,BD0240,Outdoor
5010,CM1685,Outdoor
5009,MR0214,Lamp Pole
5008,KU0363,Outdoor
5007,MR0198,Outdoor
5006,MR0151,Outdoor
5005,GA5075,Lamp Pole
5004,GA0332,Outdoor
5003,GA0308,Outdoor
5002,JA0257,Outdoor
5001,TR5003,Lamp Pole
5000,GM0737,Outdoor
4999,GM5172,Lamp Pole
4998,RA0281,Outdoor
4997,RA0261,Outdoor
4996,PU0269,Outdoor
4995,PO0203,Outdoor
4994,PU0278,Outdoor
4993,PU0147,Outdoor
4992,GM0920,Indoor
4991,CM2413,Indoor
4990,CM2389,Outdoor
4988,MU0090,Outdoor
4987,CM1682,Outdoor
4986,CM1978,Outdoor
4985,KU0617,Outdoor
4984,KU0615,Outdoor
4983,KU0369,Outdoor
4982,KU0648,Outdoor
4981,KU0415,Outdoor
4980,KU0640,Outdoor
4978,PO5074,Lamp Pole
4977,PO5039,Lamp Pole
4976,RA5022,Lamp Pole
4975,RA5055,Lamp Pole
4974,PU0200,Outdoor
4973,JA0242,Lamp Pole
4972,MU5042,Lamp Pole
4971,NU0220,Outdoor
4970,NU5054,Lamp Pole
4969,GA0186,Outdoor
4968,NU0209,Outdoor
4966,KA0189,Outdoor
4965,KA0100,Outdoor
4964,CM1597,Outdoor
4963,GM0328,Outdoor
4962,CM1483,Indoor
4961,PU0276,Outdoor
4960,KU0266,Outdoor
4959,KU0313,Outdoor
4958,KU0402,Outdoor
4957,KU0380,Outdoor
4956,HA0108,Indoor
4955,KU0414,Outdoor
4954,CM2008,Indoor
4953,MA0033,Outdoor
4952,GM0982,N/A
4951,HA0094,Indoor
4950,KU0255,Outdoor
4949,KU0603,Outdoor
4948,KA5088,Lamp Pole
4947,NU0225,Outdoor
4946,AN0098,Outdoor
4944,KU0431,Outdoor
4943,MT0201,Outdoor
4942,BD0080,Outdoor
4941,RA0264,Outdoor
4940,BD0182,Outdoor
4939,KU5121,Lamp Pole
4938,KU0541,Outdoor
4937,AN0324,Outdoor
4936,MU0062R,Outdoor
4935,KU0468,Outdoor
4934,KU0610,Outdoor
4933,KU0210,Outdoor
4932,KU0500,Outdoor
4931,PU0234,Outdoor
4930,PU0266,Outdoor
4929,PU5068,Lamp Pole
4928,KU5153,Lamp Pole
4927,AM5141,Lamp Pole
4926,JA5002,Lamp Pole
4925,KU0108,Outdoor
4924,KA0445,Outdoor
4923,MU5015,Lamp Pole
4922,CM2211,Outdoor
4921,KL0070,Outdoor
4920,CM1627,Outdoor
4919,CM0169W,Indoor
4918,CM0169E,Indoor
4917,KA0453,Outdoor
4916,MA0079,Outdoor
4915,CM0714E,Indoor
4914,CM5701,Lamp Pole
4913,KU0512,Outdoor
4912,PU0212,Outdoor
4911,RA0254,Outdoor
4910,KI0094,Outdoor
4909,VA0119,Outdoor
4908,TR0115,Outdoor
4907,KL0332,Outdoor
4906,CM1521,Indoor
4905,GM0876,Outdoor
4904,KL0215,Outdoor
4903,AM5111,Lamp Pole
4902,AM5043,Lamp Pole
4901,AM5037,Lamp Pole
4900,KL0223,Indoor
4898,KE0191,Outdoor
4897,KE0135,Outdoor
4896,KA0302,Outdoor
4895,KL0337,Outdoor
4893,NU0054,Outdoor
4883,GM0524,Outdoor
4882,CM2342,Outdoor
4881,KL0328,Outdoor
4879,KL0336,Outdoor
4878,AM5031,Lamp Pole
4877,AM5112,Lamp Pole
4876,AM0224,Outdoor
4875,TR5017,Lamp Pole
4874,TR5018,Lamp Pole
4872,TR5027,Lamp Pole
4871,TR5019,Lamp Pole
4870,TR5016,Lamp Pole
4869,TR5015,Lamp Pole
4868,TR0092,Outdoor
4867,TR5081,Lamp Pole
4866,TR5080,Lamp Pole
4865,TR5079,Lamp Pole
4864,BA5020,Lamp Pole
4863,BA5013,Lamp Pole
4862,BA5019,Lamp Pole
4860,BA5059,Lamp Pole
4859,BA5032,Lamp Pole
4858,RA0092,Outdoor
4857,BA0142,Outdoor
4856,KU0098,Outdoor
4855,NU0216,Outdoor
4850,CM0999,Outdoor
4849,KU0540,Outdoor
4848,KU0373,Outdoor
4847,NANURO,N/A
4846,GM0758,Outdoor
4845,NU0214,Outdoor
4844,NU0201,Outdoor
4843,NU0128,Outdoor
4842,KA0454,Outdoor
4840,PU0268,Outdoor
4839,PU0271,Outdoor
4838,KU0552,Outdoor
4837,VA0074,Outdoor
4836,CM1620,Outdoor
4835,GA0204,Outdoor
4834,GA0288,Outdoor
4833,GA0243,Outdoor
4832,PO0197,Outdoor
